"term","type","domain","category","severity","platforms","why","example","pattern","sources"
"unfold","word","both","abstract verb","medium","Verse Nurse","Default AI verb for things happening ('let it unfold,' 'as the story unfolds'). Flagged because it's an abstract, agentless way to describe events — the model avoids concrete action verbs.","Just let our story unfold tonight",,"udio:giveaways"
"destiny","word","both","abstract-noun","high","Suno; Udio","Stakes-inflation noun that gives a line fake importance. AI pairs it with generic motion verbs ('chasing/embracing destiny') because it's a high-probability, low-commitment way to sound profound.","We're chasing destiny across the endless sky",,"lyric:abstract"
"essence","word","both","abstract-noun","high","ChatGPT; Suno; Udio","Empty abstraction the model uses to gesture at 'the true nature of' something without describing it. 'The essence of X' is filler grandeur — a classic regress-to-the-mean move.","The essence of you lingers in the air",,"lyric:abstract"
"eternity","word","both","abstract-noun","high","Suno; Udio","Time-grandiosity filler. AI inflates ordinary stakes to cosmic scale; 'for eternity / through eternity' lets it rhyme and emote without naming an actual duration or moment.","I'll love you for eternity, beyond the stars",,"lyric:abstract"
"realm","word","both","abstract-noun","high","ChatGPT; Suno; Udio; arxiv 2406.07016; Wikipedia; matthewvollmer.substack.com; blogs; essays","Named in the paper among top LLM-preferred words. Used in 'in the realm of,' it is a grandiose stand-in for 'field/area' that surged with no topical cause — a metaphor-for-prestige noun typical of AI register.","In the realm of dreams, we dance forever",,"lyric:abstract; prose:chatgpt-words; prose:academic; prose:marketing"
"soul","word","both","abstract-noun","high","Suno; Udio","Default vessel-word AI uses for any inner state because it's emotionally weighty yet content-free. Over-density of 'soul' (my soul, your soul, soul on fire) is a hallmark of mode-collapsed lyric output that won't commit to a concrete feeling.","My soul is burning, reaching for the light",,"lyric:abstract"
"symphony","word","both","abstract-noun","high","ChatGPT; Suno; Udio; Verse Nurse","Core 'tapestry noun' — borrowed grandeur applied to non-musical things ('a symphony of colors/emotions/chaos'). Signals the model reaching for an impressive-sounding container instead of a concrete image.","A symphony of silence fills the empty room",,"lyric:abstract; suno:giveaways"
"tapestry","word","both","abstract-noun","high","ChatGPT; Forbes; Gemini; Suno; Udio; Wikipedia; Wikipedia AI-signs; Wikipedia Signs of AI Writing; arXiv study; arxiv 2406.07016; chatgpt; claude; general; matthewvollmer.substack.com; shared","The single most notorious AI tell. Spiked in PubMed abstracts post-2022 (Kobak 'why does ChatGPT delve' study) and editors now say 'if tapestry appears, it was ChatGPT.' Used as a generic metaphor for any complex thing ('rich tapestry of...') to fake depth without specifics.","A rich tapestry of dreams woven through the night",,"lyric:abstract; rhyme:common; suno:giveaways; prose:chatgpt-words; prose:gemini; prose:academic"
"void","word","both","abstract-noun","high","Suno; Udio","Flagged on Suno cliche-checker lists. AI's default word for emptiness/loss because it's dramatic and abstract; 'staring into the void / falling into the void' is mode-collapsed melancholy with no concrete scene.","I'm falling into the void, lost without a trace",,"lyric:abstract"
"beacon","word","both","abstract-noun","medium","ChatGPT; Suno; matthewvollmer.substack.com","Grouped with cornerstone/bedrock as a prestige-metaphor noun ('a beacon of hope/innovation'). Its purely decorative, near-poetic use is alien to neutral academic prose, making it a strong stylistic tell.","You are my beacon in the endless night",,"lyric:abstract; prose:chatgpt-words; prose:academic"
